year,sex,type_of_course,no_of_graduates
1999,Males,Mass Communication,19
1999,Males,Accountancy,297
1999,Males,Business & Administration,349
1999,Males,Law,92
1999,Males,Natural Physical & Mathematical Sciences,401
1999,Males,Medicine,104
1999,Males,Dentistry,18
1999,Males,Health Sciences,14
1999,Males,Information Technology,355
1999,Males,Architecture & Building,104
1999,Males,Engineering Sciences,2200
1999,Males,Services,na
1999,Females,Education,158
1999,Females,Applied Arts,na
1999,Females,Humanities & Social Sciences,1492
1999,Females,Mass Communication,93
1999,Females,Accountancy,482
1999,Females,Business & Administration,905
1999,Females,Law,77
1999,Females,Natural Physical & Mathematical Sciences,674
1999,Females,Medicine,41
1999,Females,Dentistry,14
1999,Females,Health Sciences,77
1999,Females,Information Technology,218
1999,Females,Architecture & Building,167
1999,Females,Engineering Sciences,492
1999,Females,Services,na
2000,Males,Education,35
2000,Males,Applied Arts,na
2000,Males,Humanities & Social Sciences,574
2000,Males,Mass Communication,34
2000,Males,Accountancy,250
2000,Males,Business & Administration,328
2000,Males,Law,74
2000,Males,Natural Physical & Mathematical Sciences,378
2000,Males,Medicine,119
2000,Males,Dentistry,17
2000,Males,Health Sciences,11
2000,Males,Information Technology,348
2000,Males,Architecture & Building,101
2000,Males,Engineering Sciences,2267
2000,Males,Services,na
2000,Females,Education,115
2000,Females,Applied Arts,na
2000,Females,Humanities & Social Sciences,1452
2000,Females,Mass Communication,80
2000,Females,Accountancy,495
2000,Females,Business & Administration,851
2000,Females,Law,79
2000,Females,Natural Physical & Mathematical Sciences,655
2000,Females,Medicine,37
2000,Females,Dentistry,15
2000,Females,Health Sciences,30
2000,Females,Information Technology,187
2000,Females,Architecture & Building,192
2000,Females,Engineering Sciences,682
2000,Females,Services,na
2001,Males,Education,63
2001,Males,Applied Arts,na
2001,Males,Humanities & Social Sciences,534
2001,Males,Mass Communication,39
2001,Males,Accountancy,257
2001,Males,Business & Administration,403
2001,Males,Law,58
2001,Males,Natural Physical & Mathematical Sciences,358
2001,Males,Medicine,97
2001,Males,Dentistry,19
2001,Males,Health Sciences,17
2001,Males,Information Technology,249
2001,Males,Architecture & Building,124
2001,Males,Engineering Sciences,2517
2001,Males,Services,na
2001,Females,Education,147
2001,Females,Applied Arts,na
2001,Females,Humanities & Social Sciences,1520
2001,Females,Mass Communication,77
2001,Females,Accountancy,484
2001,Females,Business & Administration,807
2001,Females,Law,96
2001,Females,Natural Physical & Mathematical Sciences,754
2001,Females,Medicine,42
2001,Females,Dentistry,16
2001,Females,Health Sciences,46
2001,Females,Information Technology,133
